extension,offset,magic_number
doc,0,D0CF11E0A1B11AE1
xls,0,D0CF11E0A1B11AE1
ppt,0,D0CF11E0A1B11AE1
msi,0,D0CF11E0A1B11AE1
msg,0,D0CF11E0A1B11AE1
dex,0,6465780A30333500
vmdk,0,4B444D
vmdk,0,23204469736B2044657363726970746F
crx,0,43723234
fh8,0,41474433
cwk,0,05070000424F424F0507000000000000000000000001
cwk,0,0607E100424F424F0607E10000000000000000000001
toast,0,455202000000
dmg,0,6B6F6C79
xar,0,78617221
dat,0,504D4F43434D4F43
nes,0,4E45531A
tar,0,75737461720030307573746172202000
oar,0,4F4152 ??
tox,0,746F7833
mlv,0,4D4C5649
7z,0,377ABCAF271C
gz,0,1F8B
tar.gz,0,1F8B
xz,0,FD377A585A00
tar.xz,0,FD377A585A00
lz4,0,04224D18
cab,0,4D534346
??,0,535A444488F02733
_,0,535A444488F02733
flif,0,464C4946
mkv,0,1A45DFA3
mka,0,1A45DFA3
mks,0,1A45DFA3
mk3d,0,1A45DFA3
webm,0,1A45DFA3
stg,0,4D494C20
crt,0,2D2D2D2D2D424547494E2043455254494649434154452D2D2D2D2D
pem,0,2D2D2D2D2D424547494E2043455254494649434154452D2D2D2D2D
csr,0,2D2D2D2D2D424547494E20434552544946494341544520524551554553542D2D2D2D2D
pem,0,2D2D2D2D2D424547494E20434552544946494341544520524551554553542D2D2D2D2D
key,0,2D2D2D2D2D424547494E2050524956415445204B45592D2D2D2D2D
pem,0,2D2D2D2D2D424547494E2050524956415445204B45592D2D2D2D2D
key,0,2D2D2D2D2D424547494E204453412050524956415445204B45592D2D2D2D2D
pem,0,2D2D2D2D2D424547494E204453412050524956415445204B45592D2D2D2D2D
key,0,2D2D2D2D2D424547494E205253412050524956415445204B45592D2D2D2D2D
pem,0,2D2D2D2D2D424547494E205253412050524956415445204B45592D2D2D2D2D
ppk,0,50755454592D557365722D4B65792D46696C652D323A
ppk,0,50755454592D557365722D4B65792D46696C652D333A
pub,0,2D2D2D2D2D424547494E2053534832204B45592D2D2D2D2D
dcm,0,4449434D
woff,0,774F4646
woff2,0,774F4632
xml,0,3C3F786D6C20
(,0,3C3F786D6C20
utf-8,0,3C3F786D6C20
or,0,3C3F786D6C20
other,0,3C3F786D6C20
8-bit,0,3C3F786D6C20
encodings),0,3C3F786D6C20
wasm,0,0061736D
lep,0,CF8401
swf,0,435753
deb,0,213C617263683E0A
rtf,0,7B5C72746631
ts,0,47
tsv,0,47
tsa,0,47
mpg,0,47
mpeg,0,47
m2p,0,000001BA
