extension,magic_number
jar,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
kmz,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
maff,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
msix,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
odp,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
ods,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
odt,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
pk3,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
pk4,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
pptx,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
usdz,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
vsdx,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
xlsx,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
xpi,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
whl,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
rar,52 61 72 21 1A 07 00
rar,52 61 72 21 1A 07 01 00
none,7F 45 4C 46
axf,7F 45 4C 46
bin,7F 45 4C 46
elf,7F 45 4C 46
o,7F 45 4C 46
out,7F 45 4C 46
prx,7F 45 4C 46
puff,7F 45 4C 46
ko,7F 45 4C 46
mod,7F 45 4C 46
so,7F 45 4C 46
png,89 50 4E 47 0D 0A 1A 0A
hdf4,0E 03 13 01
h4,0E 03 13 01
hdf5,89 48 44 46 0D 0A 1A 0A
h5,89 48 44 46 0D 0A 1A 0A
com,C9
class,CA FE BA BE
txt,EF BB BF
others,EF BB BF
txt,FF FE
others,FF FE
txt,FE FF
others,FE FF
txt,FF FE 00 00
others,FF FE 00 00
txt,00 00 FE FF
others,00 00 FE FF
txt,0E FE FF
others,0E FE FF
ps,25 21 50 53
eps,25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 30 20 45 50 53 46 2D 33 2E 30
epsf,25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 30 20 45 50 53 46 2D 33 2E 30
eps,25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 31 20 45 50 53 46 2D 33 2E 30
epsf,25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 31 20 45 50 53 46 2D 33 2E 30
chm,49 54 53 46 03 00 00 00 60 00 00 00
hlp,3F 5F
pdf,25 50 44 46 2D
asf,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
wma,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
wmv,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
ogg,4F 67 67 53
oga,4F 67 67 53
ogv,4F 67 67 53
psd,38 42 50 53
wav,52 49 46 46 ?? ?? ?? ?? 57 41 56 45
avi,52 49 46 46 ?? ?? ?? ?? 41 56 49 20
mp3,FF FB FF F3 FF F2
mp3,49 44 33
bmp,42 4D
dib,42 4D
iso,43 44 30 30 31
cdi,43 44 30 30 31
mgw,6D 61 69 6E 2E 62 73
nes,4E 45 53
d64,A0 32 41 A0 A0 A0
g64,47 53 52 2D 31 35 34 31
d81,A0 33 44 A0 A0
t64,43 36 34 20 74 61 70 65 20 69 6D 61 67 65 20 66 69 6C 65
crt,43 36 34 20 43 41 52 54 52 49 44 47 45 20 20 20
fits,53 49 4D 50 4C 45 20 20 3D 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 54
flac,66 4C 61 43
mid,4D 54 68 64
midi,4D 54 68 64
doc,D0 CF 11 E0 A1 B1 1A E1
xls,D0 CF 11 E0 A1 B1 1A E1
ppt,D0 CF 11 E0 A1 B1 1A E1
msi,D0 CF 11 E0 A1 B1 1A E1
msg,D0 CF 11 E0 A1 B1 1A E1
dex,64 65 78 0A 30 33 35 00
vmdk,4B 44 4D
vmdk,23 20 44 69 73 6B 20 44 65 73 63 72 69 70 74 6F
crx,43 72 32 34
fh8,41 47 44 33
cwk,05 07 00 00 42 4F 42 4F 05 07 00 00 00 00 00 00 00 00 00 00 00 01
cwk,06 07 E1 00 42 4F 42 4F 06 07 E1 00 00 00 00 00 00 00 00 00 00 01
toast,45 52 02 00 00 00
dmg,6B 6F 6C 79
xar,78 61 72 21
dat,50 4D 4F 43 43 4D 4F 43
nes,4E 45 53 1A
tar,75 73 74 61 72 00 30 30 75 73 74 61 72 20 20 00
oar,4F 41 52 ??
tox,74 6F 78 33
mlv,4D 4C 56 49
7z,37 7A BC AF 27 1C
gz,1F 8B
tar.gz,1F 8B
xz,FD 37 7A 58 5A 00
tar.xz,FD 37 7A 58 5A 00
lz4,04 22 4D 18
cab,4D 53 43 46
??,53 5A 44 44 88 F0 27 33
_,53 5A 44 44 88 F0 27 33
flif,46 4C 49 46
mkv,1A 45 DF A3
mka,1A 45 DF A3
mks,1A 45 DF A3
mk3d,1A 45 DF A3
webm,1A 45 DF A3
stg,4D 49 4C 20
djvu,41 54 26 54 46 4F 52 4D ?? ?? ?? ?? 44 4A 56
djv,41 54 26 54 46 4F 52 4D ?? ?? ?? ?? 44 4A 56
crt,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 2D 2D 2D 2D 2D
pem,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 2D 2D 2D 2D 2D
csr,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 20 52 45 51 55 45 53 54 2D 2D 2D 2D 2D
pem,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 20 52 45 51 55 45 53 54 2D 2D 2D 2D 2D
key,2D 2D 2D 2D 2D 42 45 47 49 4E 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
pem,2D 2D 2D 2D 2D 42 45 47 49 4E 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
key,2D 2D 2D 2D 2D 42 45 47 49 4E 20 44 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
pem,2D 2D 2D 2D 2D 42 45 47 49 4E 20 44 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
key,2D 2D 2D 2D 2D 42 45 47 49 4E 20 52 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
